Name,Ticker,Sector,MarketCap,PreviousClose,52WeekHigh,52WeekLow
3M Company,MMM,Industrials,87442300928,160.59,172.85,121.98
A.O. Smith Corporation,AOS,Industrials,9207796736,65.15,77.92,58.83
Abbott Laboratories,ABT,Healthcare,217098158080,125.8,141.23,110.86
AbbVie Inc.,ABBV,Healthcare,383705284608,215.89,244.81,163.81
Accenture plc,ACN,Technology,153862651904,242.9,398.35,229.4
Adobe Inc.,ADBE,Technology,140704022528,335.35,557.9,327.5
"Advanced Micro Devices, Inc.",AMD,Technology,418823471104,250.05,267.08,76.48
The AES Corporation,AES,Utilities,10144000000,13.44,15.51,9.46
AFLAC Incorporated,AFL,Financial Services,59649757184,108.81,115.43,96.95
"Agilent Technologies, Inc.",A,Healthcare,41705746432,146.08,153.84,96.43
"Air Products and Chemicals, Inc",APD,Basic Materials,52507078656,240.77,341.14,235.86
"Airbnb, Inc.",ABNB,Consumer Cyclical,75366203392,122.35,163.93,99.88
"Akamai Technologies, Inc.",AKAM,Technology,10490803200,71.97,105.26,67.51
Albemarle Corporation,ALB,Basic Materials,10845659136,88.45,113.91,49.43
Alexandria Real Estate Equities,ARE,Real Estate,9450074112,53.99,116.52,53.08
"Align Technology, Inc.",ALGN,Healthcare,9938968576,135.67,246.19,122.0
Allegion plc,ALLE,Industrials,14283454464,165.55,180.68,116.57
Alliant Energy Corporation,LNT,Utilities,17222590464,66.59,69.75,56.08
Allstate Corporation (The),ALL,Financial Services,51517923328,195.26,215.7,176.0
Alphabet Inc.,GOOGL,Communication Services,3435460558848,277.54,291.59,140.53
Alphabet Inc.,GOOG,Communication Services,3435183734784,278.06,291.93,142.66
"Altria Group, Inc.",MO,Consumer Defensive,96058122240,57.31,68.6,50.08
"Amazon.com, Inc.",AMZN,Consumer Cyclical,2660901584896,249.32,258.6,161.38
Amcor plc,AMCR,Consumer Cyclical,18640005120,7.87,10.71,7.67
Ameren Corporation,AEE,Utilities,27424972800,101.91,106.73,85.7
American Electric Power Company,AEP,Utilities,64127496192,120.3,122.85,89.91
American Express Company,AXP,Financial Services,253370040320,360.49,367.8151,220.43
"American International Group, I",AIG,Financial Services,42661064704,80.71,88.07,69.24
American Tower Corporation (REI,AMT,Real Estate,83901235200,180.35,234.33,172.51
"American Water Works Company, I",AWK,Utilities,25664602112,128.08,155.5,118.74
"Ameriprise Financial, Inc.",AMP,Financial Services,42913148928,452.0,582.05,396.14
"AMETEK, Inc.",AME,Industrials,45817475072,198.06,204.15,145.02
Amgen Inc.,AMGN,Healthcare,173670154240,296.7,335.88,253.3
Amphenol Corporation,APH,Technology,170590502912,136.7,142.5,56.45
"Analog Devices, Inc.",ADI,Technology,117033738240,229.38,258.13,158.65
Aon plc,AON,Financial Services,73795870720,344.21,412.97,323.73
APA Corporation,APA,Energy,7883824640,22.09,25.83,13.58
"Apollo Global Management, Inc. ",APO,Financial Services,78105862144,130.51,189.49,102.58
Apple Inc.,AAPL,Technology,3977114288128,270.04,277.32,169.21
"Applied Materials, Inc.",AMAT,Technology,192257703936,230.19,242.5,123.74
Applovin Corporation,APP,Communication Services,210528452608,608.68,745.61,166.97
Aptiv PLC,APTV,Consumer Cyclical,17984290816,80.85,88.8,47.19
Arch Capital Group Ltd.,ACGL,Financial Services,32274651136,87.47,103.17,82.45
Archer-Daniels-Midland Company,ADM,Consumer Defensive,27280773120,60.12,65.0,40.98
"Arista Networks, Inc.",ANET,Technology,177484726272,153.55,164.94,59.43
Arthur J. Gallagher & Co.,AJG,Financial Services,64378445824,251.7,351.23,239.47
"Assurant, Inc.",AIZ,Financial Services,11032401920,214.6,230.55,174.97
AT&T Inc.,T,Communication Services,173691518976,24.44,29.79,21.38
Atmos Energy Corporation,ATO,Utilities,27640553472,173.95,179.7,136.05
"Autodesk, Inc.",ADSK,Technology,64169017344,300.86,329.09,232.67
